Keypoints on Vehicle,,,,,,,,,,
185.288 ms 1.0329 ms,187.005 ms 1.8271 ms,,177.306 ms 53.8339 ms,183.244 ms 67.1849 ms,97.6381 ms 72.7377 ms,,,,,
187.531 ms 0.7573 ms,185.584 ms 1.8825 ms,,177.595 ms 54.0621 ms,182.871 ms 66.5222 ms,95.9108 ms 72.5054 ms,,,,,
188.099 ms 1.1437 ms,187.389 ms 2.0055 ms,,187.597 ms 55.1372 ms,179.429 ms 68.7409 ms,100.282 ms 73.356 ms,,,,,
194.335 ms 1.1058 ms,186.835 ms 1.7739 ms,,186.317 ms 61.414 ms,180.2 ms 67.7554 ms,104.516 ms 72.2105 ms,,,,,
HARRIS BRIEF,HARRIS BRISK,HARRIS ORB,HARRIS FREAK,HARRIS AKAZE,HARRIS SIFT,,,,,
32.0049 ms 0.363 ms,31.7862 ms 0.6839 ms,31.7304 ms 3.867 ms,32.1272 ms 51.7264 ms,33.8499 ms 117.551 ms,31.9122 ms 27.8511 ms,,,,,
27.3763 ms 2.6649 ms,26.9823 ms 2.9377 ms,27.4032 ms 4.3842 ms,27.0883 ms 40.1672 ms,11.758 ms 47.3027 ms,15.0382 ms 31.1623 ms,,,,,
24.4029 ms 0.2535 ms,24.2365 ms 0.5938 ms,26.3809 ms 3.6541 ms,16.855 ms 40.4076 ms,11.7821 ms 43.9319 ms,24.6842 ms 13.6184 ms,,,,,
14.3459 ms 2.6596 ms,15.1501 ms 2.8755 ms,14.5828 ms 4.147 ms,14.5688 ms 40.2958 ms,11.3873 ms 46.8797 ms,11.8113 ms 14.4939 ms,,,,,
23.9807 ms 2.6483 ms,25.2127 ms 2.8645 ms,24.213 ms 3.7169 ms,12.4701 ms 40.4863 ms,12.4917 ms 53.4878 ms,13.2133 ms 14.1855 ms,,,,,
32.8056 ms 0.4337 ms,32.9727 ms 0.7808 ms,33.2553 ms 3.7885 ms,24.2627 ms 40.1543 ms,24.0351 ms 46.3385 ms,24.2816 ms 14.5536 ms,,,,,
13.6803 ms 2.6265 ms,14.7266 ms 2.7769 ms,14.5254 ms 3.6966 ms,11.5264 ms 40.312 ms,12.0053 ms 55.5332 ms,11.1215 ms 13.9283 ms,,,,,
25.3511 ms 2.7111 ms,25.655 ms 2.9272 ms,24.9121 ms 3.759 ms,13.6243 ms 41.6792 ms,13.7547 ms 63.0792 ms,13.5309 ms 13.697 ms,,,,,
21.3178 ms 0.2804 ms,21.936 ms 0.6042 ms,21.5319 ms 3.7243 ms,13.0775 ms 40.2124 ms,12.9251 ms 53.8178 ms,12.949 ms 14.0092 ms,,,,,
19.6379 ms 3.0242 ms,19.9732 ms 2.9941 ms,19.6031 ms 3.7859 ms,16.9195 ms 40.6719 ms,16.7568 ms 48.2731 ms,17.1073 ms 14.6391 ms,,,,,
ORB BRIEF,ORB BRISK,ORB ORB,ORB FREAK,ORB AKAZE,ORB SIFT,,,,,
16.97 ms 2.919 ms,15.5513 ms 3.8945 ms,15.4739 ms 16.9883 ms,15.5818 ms 55.4041 ms,15.7645 ms 123.961 ms,15.8764 ms 71.0041 ms,,,,,
11.8992 ms 0.6219 ms,11.4639 ms 1.3241 ms,10.4951 ms 14.8666 ms,11.8404 ms 53.1568 ms,8.0524 ms 80.2605 ms,7.8808 ms 40.8461 ms,,,,,
9.6936 ms 0.4945 ms,11.5054 ms 1.4477 ms,8.6938 ms 14.2379 ms,7.8009 ms 53.2891 ms,7.6705 ms 91.4695 ms,7.9183 ms 45.969 ms,,,,,
7.4906 ms 0.507 ms,7.7771 ms 1.4239 ms,7.6682 ms 14.9626 ms,8.0504 ms 41.7152 ms,7.6457 ms 96.2338 ms,7.9832 ms 44.8173 ms,,,,,
7.5901 ms 0.4832 ms,7.6309 ms 1.5866 ms,7.9898 ms 14.5688 ms,8.1994 ms 41.7724 ms,8.2028 ms 99.4243 ms,7.8674 ms 40.7321 ms,,,,,
8.1681 ms 0.6049 ms,8.1128 ms 1.9908 ms,8.4549 ms 14.2965 ms,8.4401 ms 42.2075 ms,8.5347 ms 96.1455 ms,8.5027 ms 42.47 ms,,,,,
8.1159 ms 0.6047 ms,8.4575 ms 1.8733 ms,7.6284 ms 14.6449 ms,8.3816 ms 42.6454 ms,7.7001 ms 94.492 ms,8.3017 ms 45.2014 ms,,,,,
7.6257 ms 0.5424 ms,8.2283 ms 1.7337 ms,8.113 ms 14.2616 ms,8.9059 ms 44.6017 ms,8.2816 ms 97.3644 ms,7.7719 ms 51.7335 ms,,,,,
7.6912 ms 0.5393 ms,8.2791 ms 1.7366 ms,8.0991 ms 14.4977 ms,8.8899 ms 45.2444 ms,7.7023 ms 96.7556 ms,7.8588 ms 50.7205 ms,,,,,
7.8374 ms 0.5408 ms,8.692 ms 3.1439 ms,8.33 ms 14.6655 ms,7.9647 ms 41.8698 ms,8.9322 ms 88.7144 ms,7.8837 ms 47.7061 ms,,,,,
AKAZE BRIEF,AKAZE BRISK,AKAZE ORB,AKAZE FREAK,AKAZE AKAZE,AKAZE SIFT,,,,,
151.057 ms 1.0551 ms,144.641 ms 2.2019 ms,146.141 ms 11.0665 ms,147.917 ms 53.6448 ms,143.451 ms 71.6231 ms,148.857 ms 23.5334 ms,,,,,
86.1906 ms 0.7689 ms,94.7193 ms 2.3963 ms,93.8418 ms 11.1884 ms,86.3067 ms 41.7602 ms,97.2812 ms 86.1666 ms,95.7039 ms 22.746 ms,,,,,
99.593 ms 1.1662 ms,93.2014 ms 2.1073 ms,104.513 ms 11.2937 ms,62.7338 ms 52.3203 ms,104.292 ms 89.9393 ms,101.407 ms 29.4506 ms,,,,,
97.791 ms 0.7983 ms,99.1535 ms 2.0399 ms,105.242 ms 13.1114 ms,69.3966 ms 51.5652 ms,102.271 ms 94.1141 ms,110.877 ms 30.9856 ms,,,,,
102.139 ms 0.7914 ms,101.117 ms 2.05 ms,111.161 ms 10.6121 ms,76.8599 ms 52.4262 ms,103.862 ms 92.9538 ms,108.853 ms 26.9088 ms,,,,,
104.815 ms 1.1708 ms,106.42 ms 2.1459 ms,103.078 ms 11.6039 ms,66.1621 ms 41.5907 ms,103.628 ms 95.0931 ms,108.781 ms 30.675 ms,,,,,
107.407 ms 1.2276 ms,105.966 ms 1.9875 ms,94.2515 ms 10.8993 ms,60.6663 ms 41.8416 ms,104.487 ms 89.6621 ms,106.123 ms 31.0353 ms,,,,,
98.1532 ms 0.9238 ms,107.192 ms 2.2398 ms,104.729 ms 10.166 ms,58.9845 ms 52.7869 ms,101.502 ms 88.9007 ms,104.844 ms 29.9449 ms,,,,,
106.49 ms 0.8371 ms,106.325 ms 2.1913 ms,106.934 ms 10.4795 ms,64.3061 ms 41.5852 ms,96.2903 ms 87.092 ms,96.8051 ms 30.3256 ms,,,,,
101.875 ms 1.253 ms,107.245 ms 2.2116 ms,102.523 ms 12.8538 ms,59.1481 ms 53.316 ms,98.7091 ms 88.3232 ms,108.556 ms 29.8469 ms,,,,,
SHITOMASI BRIEF,SHITOMASI BRISK,SHITOMASI ORB,SHITOMASI FREAK,SHITOMASI AKAZE,SHITOMASI SIFT,,,,,
33.0124 ms 3.219 ms,32.5132 ms 4.1899 ms,32.7541 ms 3.978 ms,32.4486 ms 55.3917 ms,32.8526 ms 120.709 ms,32.7983 ms 29.1986 ms,,,,,
25.4506 ms 2.9332 ms,25.3508 ms 3.9239 ms,28.6224 ms 4.5365 ms,25.8456 ms 40.8726 ms,11.2983 ms 62.7586 ms,15.8896 ms 32.7623 ms,,,,,
23.7723 ms 0.5515 ms,24.022 ms 1.8201 ms,25.4291 ms 4.4718 ms,16.2166 ms 40.5596 ms,11.6928 ms 66.6571 ms,24.0404 ms 14.5969 ms,,,,,
15.7393 ms 3.1482 ms,15.7679 ms 3.9486 ms,15.1751 ms 3.9517 ms,14.0085 ms 40.9313 ms,19.4775 ms 64.1442 ms,16.3248 ms 34.0093 ms,,,,,
24.2238 ms 3.0786 ms,24.3687 ms 3.9575 ms,24.0038 ms 5.5816 ms,11.8774 ms 40.503 ms,11.7906 ms 58.0495 ms,24.1036 ms 32.4094 ms,,,,,
20.5232 ms 0.547 ms,20.959 ms 1.5526 ms,20.3458 ms 3.8221 ms,12.6144 ms 41.7439 ms,11.5141 ms 59.526 ms,20.745 ms 14.4757 ms,,,,,
15.6636 ms 3.2399 ms,15.4287 ms 3.8678 ms,15.8105 ms 4.3658 ms,11.5024 ms 41.9743 ms,11.2315 ms 60.6934 ms,15.9174 ms 32.5114 ms,,,,,
24.4073 ms 3.1924 ms,25.4299 ms 4.1109 ms,24.6123 ms 3.9151 ms,11.6262 ms 41.2046 ms,12.3085 ms 69.2458 ms,24.2215 ms 32.483 ms,,,,,
20.7013 ms 0.5094 ms,22.5087 ms 1.5331 ms,20.8333 ms 3.88 ms,11.8032 ms 41.0131 ms,11.6361 ms 58.3383 ms,20.6678 ms 16.5708 ms,,,,,
15.4741 ms 2.9138 ms,15.3787 ms 3.8146 ms,15.3847 ms 4.2077 ms,11.2255 ms 40.7135 ms,18.976 ms 65.5972 ms,15.3536 ms 32.7548 ms,,,,,
